feature,gain
lag_168h,5775598393201.0
same_hour_mean_4w,5374771184935.0
lag_24h,1469381867878.0
is_holiday,294014996438.0
day_of_week,221448092916.0
is_weekend,213869983454.0
day_of_year,204654543600.0
lag_72h,182207180073.0
lag_24h_vs_week_mean,124160276682.0
lag_336h,96722468956.0
local_hour,82239689897.0
rolling_min_7d,78373684047.0
same_hour_std_4w,77306884597.0
rolling_max_7d,58687636865.0
rolling_mean_7d,50453173039.0
lag_48h,48993112657.0
rolling_std_7d,45254291483.0
month,15507856861.0
is_day_after_holiday,10726278687.0
